match_card_id,team,match_date,core_GK,momentum_GK,starter_count_GK,available_count_GK,core_DF,momentum_DF,starter_count_DF,available_count_DF,core_MF,momentum_MF,starter_count_MF,available_count_MF,core_FW,momentum_FW,starter_count_FW,available_count_FW
25018,横浜FC,,0.5,0.4,1,0,0.82187,0.777852,4,4,0.645162,0.583333,4,4,0.69987,0.595685,2,3
25019,アビスパ福岡,,0.5,0.5,1,1,0.553102,0.510613,5,4,0.652963,0.567037,4,3,0.902014,0.839236,1,2
25019,鹿島アントラーズ,,0.5,0.5,1,1,0.753333,0.72,4,3,0.628499,0.538267,4,4,0.742315,0.654352,2,2
25020,ガンバ大阪,,0.5,0.5,1,1,0.609437,0.586767,4,3,0.762209,0.684378,4,7,0.50713,0.340093,2,1
25020,ベガルタ仙台,,0.5,0.5,1,1,0.766875,0.707292,4,6,0.557068,0.466312,4,3,0.191169,0.135428,2,0
25021,徳島ヴォルティス,,0.5,0.5,1,1,0.720172,0.655741,4,6,0.423194,0.346333,3,2,0.786817,0.707211,3,3
25021,横浜F・マリノス,,0.5,0.5,1,1,0.633989,0.612585,4,4,0.788912,0.713102,3,3,0.642269,0.522454,3,4
25022,セレッソ大阪,,0.5,0.5,1,1,0.677083,0.658773,4,4,0.697917,0.666667,4,4,0.586215,0.48816,2,2
25022,大分トリニータ,,0.5,0.45,1,1,0.726926,0.672963,4,3,0.575304,0.490212,3,5,0.425972,0.319861,3,1
25023,サガン鳥栖,,0.5,0.5,1,1,0.65225,0.597472,4,3,0.731007,0.659306,4,5,0.694244,0.585386,2,2
25023,柏レイソル,,0.5,0.5,1,1,0.580116,0.53394,4,4,0.634074,0.581565,4,3,0.689965,0.606431,2,3
25024,ヴィッセル神戸,,0.5,0.5,1,1,0.592857,0.557143,4,4,0.5045,0.40865,3,2,0.42125,0.337271,3,1
25024,北海道コンサドーレ札幌,,0.5,0.45,1,1,0.734213,0.686481,3,3,0.638954,0.587302,6,6,0.589306,0.496944,1,1
25025,FC東京,,0.0,0.0,1,0,0.796975,0.75621,4,5,0.640111,0.541172,3,3,0.6365,0.532833,3,4
25025,ベガルタ仙台,,0.5,0.5,1,1,0.770056,0.692311,4,4,0.740538,0.682701,5,6,0.596867,0.519142,1,1
25026,ガンバ大阪,,0.5,0.5,1,1,0.728264,0.676097,4,5,0.650532,0.584218,4,4,0.582153,0.450139,2,3
25026,横浜F・マリノス,,0.0,0.0,1,0,0.812611,0.784339,4,4,0.640222,0.578844,3,4,0.348657,0.300704,3,2
25027,徳島ヴォルティス,,0.5,0.5,1,1,0.732824,0.650912,3,4,0.691349,0.639198,5,5,0.751389,0.670444,2,2
25027,横浜FC,,0.5,0.45,1,1,0.575664,0.569623,4,4,0.728715,0.652306,3,3,0.643426,0.558532,3,4
25028,アビスパ福岡,,0.5,0.5,1,1,0.645139,0.58026,5,4,0.705496,0.619849,4,5,0.813472,0.733944,1,1
25028,サガン鳥栖,,0.5,0.5,1,1,0.732276,0.681645,4,4,0.540486,0.443056,4,2,0.717431,0.626736,2,3
25029,サンフレッチェ広島,,0.5,0.5,1,1,0.766972,0.688594,4,4,0.638947,0.530296,5,4,0.646806,0.577333,1,2
25029,大分トリニータ,,0.5,0.415,1,1,0.792725,0.748624,4,6,0.776991,0.704356,5,6,0.685463,0.654815,1,3
25030,川崎フロンターレ,,0.5,0.5,1,1,0.807306,0.768094,4,4,0.723611,0.645282,3,5,0.460208,0.27375,3,1
25030,浦和レッズ,,0.5,0.5,1,1,1.0,1.0,4,4,0.545426,0.451985,5,4,0.917639,0.890944,1,2
25031,セレッソ大阪,,0.5,0.5,1,1,0.675,0.661213,4,4,0.755,0.688889,4,4,0.571285,0.451319,2,2
25031,湘南ベルマーレ,,0.5,0.5,1,1,0.808481,0.759391,3,4,0.607344,0.531927,5,4,0.798796,0.72337,2,3
25032,名古屋グランパス,,0.5,0.5,1,1,0.669005,0.616898,4,4,0.710139,0.623056,2,2,0.634087,0.542163,4,4
25032,鹿島アントラーズ,,0.5,0.5,1,1,0.907861,0.900039,4,5,0.614147,0.500722,4,4,0.618044,0.530532,2,2
25033,柏レイソル,,0.5,0.5,1,1,0.74456,0.69862,4,4,0.665532,0.570454,4,3,0.262188,0.136771,2,0
25033,清水エスパルス,,0.5,0.5,1,1,0.639333,0.6304,4,3,0.45494,0.392357,4,3,0.733194,0.638639,2,3
25034,サガン鳥栖,,0.5,0.5,1,1,0.721806,0.652778,4,4,0.624931,0.582007,5,5,0.782778,0.680056,1,2
25034,セレッソ大阪,,0.5,0.5,1,1,0.675,0.661213,4,4,0.495,0.425,4,2,0.435796,0.348889,2,2
25035,横浜F・マリノス,,0.13,0.16,1,0,0.666495,0.638307,4,5,0.80138,0.740315,2,4,0.776632,0.687681,4,3
25035,湘南ベルマーレ,,0.5,0.5,1,1,0.748222,0.663744,3,4,0.72375,0.647548,5,4,0.776563,0.679813,2,3
25036,ベガルタ仙台,,0.5,0.5,1,1,0.790562,0.732061,4,5,0.721481,0.639796,4,4,0.578565,0.480741,2,1
25036,ヴィッセル神戸,,0.5,0.5,1,1,0.535,0.474667,4,3,0.711349,0.635587,4,5,0.63713,0.558148,2,1
25037,柏レイソル,,0.5,0.5,1,1,0.673403,0.617972,4,4,0.56712,0.454419,3,2,0.712306,0.641144,3,3
25037,横浜FC,,0.17875,0.0575,1,0,0.595556,0.577178,4,3,0.613677,0.559065,4,3,0.624132,0.495681,2,1
25038,FC東京,,0.63,0.66,1,1,0.643611,0.585847,4,3,0.684606,0.59838,3,3,0.676076,0.576569,3,3
25038,名古屋グランパス,,0.5,0.5,1,1,0.692083,0.663222,4,4,0.712963,0.59537,2,2,0.624167,0.518857,4,4
25039,ガンバ大阪,,0.5,0.5,1,1,0.707398,0.627307,4,4,0.645972,0.570944,4,5,0.607581,0.503468,2,3
25039,サンフレッチェ広島,,0.5,0.5,1,1,0.895382,0.867597,4,4,0.646759,0.558253,4,4,0.636944,0.537111,2,2
25040,アビスパ福岡,,0.5,0.5,1,1,0.615069,0.538639,4,4,0.678433,0.588722,4,4,0.576435,0.533593,2,2
