match_card_id,match_date,kickoff_time,stadium,attendance,weather,temperature_c,humidity_pct,home_team,away_team,home_score,away_score,home_first_half_score,away_first_half_score,home_second_half_score,away_second_half_score,home_coach,away_coach,regulation_minutes,source_html
25008,2021/03/13,16:03,県立カシマサッカースタジアム,6829,雨のち曇,12.8,72.0,鹿島アントラーズ,サンフレッチェ広島,1,1,0,1,1,0,ザーゴ,城福 浩,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25008.html
25009,2021/03/13,18:03,ノエビアスタジアム神戸,8934,屋内,14.0,52.0,ヴィッセル神戸,名古屋グランパス,0,1,0,1,0,0,三浦 淳寛,マッシモ フィッカデンティ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25009.html
25010,2021/03/13,17:33,等々力陸上競技場,4744,雨,13.0,82.0,川崎フロンターレ,柏レイソル,1,0,0,0,1,0,鬼木 達,ネルシーニョ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25010.html
25011,2021/03/14,13:03,日産スタジアム,4864,晴,16.6,20.0,横浜F・マリノス,浦和レッズ,3,0,2,0,1,0,アンジェ ポステコグルー,リカルド ロドリゲス,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25011.html
25012,2021/03/14,14:03,IAIスタジアム日本平,7715,晴,19.0,30.0,清水エスパルス,サガン鳥栖,0,0,0,0,0,0,ロティーナ,金 明輝,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25012.html
25013,2021/03/14,15:03,昭和電工ドーム大分,9590,屋内,15.3,54.0,大分トリニータ,FC東京,1,1,0,1,1,0,片野坂 知宏,長谷川 健太,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25013.html
25014,2021/03/17,18:01,味の素スタジアム,4133,晴,12.7,22.0,FC東京,湘南ベルマーレ,3,2,2,1,1,1,長谷川 健太,浮嶋 敏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25014.html
25015,2021/03/17,19:03,ノエビアスタジアム神戸,7446,屋内,14.0,38.0,ヴィッセル神戸,川崎フロンターレ,1,1,0,0,1,1,三浦 淳寛,鬼木 達,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25015.html
25016,2021/03/17,19:03,エディオンスタジアム広島,4145,晴,14.3,47.0,サンフレッチェ広島,清水エスパルス,1,0,0,0,1,0,城福 浩,ロティーナ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25016.html
25017,2021/03/17,18:04,埼玉スタジアム2002,4571,晴,13.0,27.0,浦和レッズ,北海道コンサドーレ札幌,0,0,0,0,0,0,リカルド ロドリゲス,ペトロヴィッチ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25017.html
25018,2021/03/17,19:03,豊田スタジアム,8457,晴,12.0,29.0,名古屋グランパス,横浜FC,3,0,0,0,3,0,マッシモ フィッカデンティ,下平 隆宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25018.html
25019,2021/03/17,18:03,ベスト電器スタジアム,4510,晴,15.0,54.0,アビスパ福岡,鹿島アントラーズ,1,0,0,0,1,0,長谷部 茂利,ザーゴ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25019.html
25020,2021/08/03,19:03,ユアテックスタジアム仙台,4940,晴,28.5,70.0,ベガルタ仙台,ガンバ大阪,0,1,0,1,0,0,手倉森 誠,松波 正信,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25020.html
