team,player_name,minute,match_card_id
アビスパ福岡,金森 健志,85,25019
アビスパ福岡,金森 健志,85,25019
ガンバ大阪,パトリック,35,25020
ガンバ大阪,パトリック,35,25020
横浜F・マリノス,前田 大然,10,25021
横浜F・マリノス,前田 大然,10,25021
セレッソ大阪,坂元 達裕,87,25022
セレッソ大阪,坂元 達裕,87,25022
サガン鳥栖,林 大地,29,25023
サガン鳥栖,林 大地,64,25023
サガン鳥栖,林 大地,29,25023
サガン鳥栖,林 大地,64,25023
ヴィッセル神戸,古橋 亨梧,57,25024
ヴィッセル神戸,古橋 亨梧,67,25024
ヴィッセル神戸,古橋 亨梧,57,25024
ヴィッセル神戸,古橋 亨梧,67,25024
ヴィッセル神戸,山口 蛍,53,25024
ヴィッセル神戸,山口 蛍,86,25024
ヴィッセル神戸,山口 蛍,53,25024
ヴィッセル神戸,山口 蛍,86,25024
北海道コンサドーレ札幌,アンデルソン ロペス,45,25024
北海道コンサドーレ札幌,アンデルソン ロペス,46,25024
北海道コンサドーレ札幌,アンデルソン ロペス,45,25024
北海道コンサドーレ札幌,アンデルソン ロペス,46,25024
FC東京,ディエゴ オリヴェイラ,43,25025
FC東京,ディエゴ オリヴェイラ,43,25025
FC東京,田川 亨介,26,25025
FC東京,田川 亨介,26,25025
ベガルタ仙台,蜂須賀 孝治,24,25025
ベガルタ仙台,蜂須賀 孝治,24,25025
ガンバ大阪,パトリック,90,25026
ガンバ大阪,パトリック,90,25026
ガンバ大阪,レアンドロ ペレイラ,56,25026
ガンバ大阪,レアンドロ ペレイラ,56,25026
横浜F・マリノス,エウベル,32,25026
横浜F・マリノス,エウベル,32,25026
横浜F・マリノス,マルコス ジュニオール,48,25026
横浜F・マリノス,マルコス ジュニオール,48,25026
横浜F・マリノス,水沼 宏太,74,25026
横浜F・マリノス,水沼 宏太,74,25026
徳島ヴォルティス,オウンゴール,42,25027
徳島ヴォルティス,オウンゴール,42,25027
徳島ヴォルティス,宮代 大聖,73,25027
徳島ヴォルティス,宮代 大聖,73,25027
横浜FC,袴田 裕太郎,58,25027
横浜FC,袴田 裕太郎,58,25027
サンフレッチェ広島,川辺 駿,87,25029
サンフレッチェ広島,川辺 駿,87,25029
サンフレッチェ広島,青山 敏弘,66,25029
サンフレッチェ広島,青山 敏弘,66,25029
サンフレッチェ広島,鮎川 峻,90,25029
サンフレッチェ広島,鮎川 峻,90,25029
大分トリニータ,長沢 駿,52,25029
大分トリニータ,長沢 駿,52,25029
川崎フロンターレ,レアンドロ ダミアン,49,25030
川崎フロンターレ,レアンドロ ダミアン,49,25030
川崎フロンターレ,小林 悠,42,25030
川崎フロンターレ,小林 悠,53,25030
川崎フロンターレ,小林 悠,42,25030
川崎フロンターレ,小林 悠,53,25030
川崎フロンターレ,旗手 怜央,51,25030
川崎フロンターレ,旗手 怜央,51,25030
川崎フロンターレ,脇坂 泰斗,67,25030
川崎フロンターレ,脇坂 泰斗,67,25030
名古屋グランパス,稲垣 祥,59,25032
名古屋グランパス,稲垣 祥,59,25032
柏レイソル,神谷 優太,66,25033
柏レイソル,神谷 優太,66,25033
清水エスパルス,チアゴ サンタナ,28,25033
清水エスパルス,チアゴ サンタナ,28,25033
清水エスパルス,鈴木 義宜,4,25033
清水エスパルス,鈴木 義宜,4,25033
セレッソ大阪,奥埜 博亮,46,25034
セレッソ大阪,奥埜 博亮,46,25034
横浜F・マリノス,エウベル,65,25035
横浜F・マリノス,エウベル,65,25035
湘南ベルマーレ,山田 直輝,75,25035
湘南ベルマーレ,山田 直輝,75,25035
ヴィッセル神戸,古橋 亨梧,15,25036
ヴィッセル神戸,古橋 亨梧,15,25036
ヴィッセル神戸,菊池 流帆,21,25036
ヴィッセル神戸,菊池 流帆,21,25036
柏レイソル,大南 拓磨,90,25037
柏レイソル,大南 拓磨,90,25037
横浜FC,田代 真一,38,25037
横浜FC,田代 真一,38,25037
アビスパ福岡,奈良 竜樹,52,25040
アビスパ福岡,奈良 竜樹,52,25040
