match_card_id,detail_url,season,competition,section,match_date,kickoff,home_team,score,away_team,stadium,attendance
31417,https://data.j-league.or.jp/SFMS02/?match_card_id=31417,2025,Ｊ１,第６節第２日,25/03/16(日),14:03,横浜FM,2-0,Ｇ大阪,日産ス,"23,169"
31418,https://data.j-league.or.jp/SFMS02/?match_card_id=31418,2025,Ｊ１,第６節第２日,25/03/16(日),14:03,岡山,0-0,川崎Ｆ,ＪＦＥス,"13,699"
31419,https://data.j-league.or.jp/SFMS02/?match_card_id=31419,2025,Ｊ１,第６節第２日,25/03/16(日),14:03,広島,1-1,柏,Ｅピース,"25,283"
31420,https://data.j-league.or.jp/SFMS02/?match_card_id=31420,2025,Ｊ１,第６節第２日,25/03/16(日),15:03,湘南,1-2,神戸,レモンＳ,"9,537"
31421,https://data.j-league.or.jp/SFMS02/?match_card_id=31421,2025,Ｊ１,第７節第１日,25/03/28(金),19:03,Ｃ大阪,1-1,浦和,ヨドコウ,"18,366"
31422,https://data.j-league.or.jp/SFMS02/?match_card_id=31422,2025,Ｊ１,第７節第２日,25/03/29(土),13:00,岡山,1-0,横浜FM,ＪＦＥス,"14,892"
31423,https://data.j-league.or.jp/SFMS02/?match_card_id=31423,2025,Ｊ１,第７節第２日,25/03/29(土),14:03,柏,0-0,東京Ｖ,三協Ｆ柏,"11,888"
31424,https://data.j-league.or.jp/SFMS02/?match_card_id=31424,2025,Ｊ１,第７節第２日,25/03/29(土),14:03,新潟,3-3,Ｇ大阪,デンカＳ,"20,497"
31425,https://data.j-league.or.jp/SFMS02/?match_card_id=31425,2025,Ｊ１,第７節第２日,25/03/29(土),13:03,清水,3-0,湘南,アイスタ,"17,684"
31426,https://data.j-league.or.jp/SFMS02/?match_card_id=31426,2025,Ｊ１,第７節第２日,25/03/29(土),14:03,名古屋,2-1,横浜FC,豊田ス,"32,226"
31427,https://data.j-league.or.jp/SFMS02/?match_card_id=31427,2025,Ｊ１,第７節第２日,25/03/29(土),14:03,京都,1-0,広島,サンガＳ,"14,393"
31428,https://data.j-league.or.jp/SFMS02/?match_card_id=31428,2025,Ｊ１,第７節第２日,25/03/29(土),15:03,鹿島,1-0,神戸,カシマ,"22,601"
31429,https://data.j-league.or.jp/SFMS02/?match_card_id=31429,2025,Ｊ１,第７節第２日,25/03/29(土),15:04,福岡,2-2,町田,ベススタ,"7,600"
31430,https://data.j-league.or.jp/SFMS02/?match_card_id=31430,2025,Ｊ１,第７節第２日,25/03/29(土),17:03,FC東京,0-3,川崎Ｆ,味スタ,"33,632"
32221,https://data.j-league.or.jp/SFMS02/?match_card_id=32221,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,東京Ｖ,2-2,FC東京,味スタ,"26,865"
32222,https://data.j-league.or.jp/SFMS02/?match_card_id=32222,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,川崎Ｆ,2-0,湘南,Ｕ等々力,"21,392"
32223,https://data.j-league.or.jp/SFMS02/?match_card_id=32223,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,横浜FC,0-1,神戸,ニッパツ,"8,032"
32224,https://data.j-league.or.jp/SFMS02/?match_card_id=32224,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,新潟,0-1,福岡,デンカＳ,"13,627"
32225,https://data.j-league.or.jp/SFMS02/?match_card_id=32225,2025,Ｊ１,第８節第１日,25/04/02(水),19:04,名古屋,2-0,横浜FM,豊田ス,"21,892"
32226,https://data.j-league.or.jp/SFMS02/?match_card_id=32226,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,京都,1-1,柏,サンガＳ,"9,059"
32227,https://data.j-league.or.jp/SFMS02/?match_card_id=32227,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,Ｇ大阪,0-1,町田,パナスタ,"23,125"
32228,https://data.j-league.or.jp/SFMS02/?match_card_id=32228,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,Ｃ大阪,2-1,岡山,ヨドコウ,"17,141"
32229,https://data.j-league.or.jp/SFMS02/?match_card_id=32229,2025,Ｊ１,第８節第１日,25/04/02(水),19:03,広島,1-0,鹿島,Ｅピース,"24,868"
32230,https://data.j-league.or.jp/SFMS02/?match_card_id=32230,2025,Ｊ１,第８節第１日,25/04/02(水),19:33,浦和,2-1,清水,埼玉,"25,326"
32231,https://data.j-league.or.jp/SFMS02/?match_card_id=32231,2025,Ｊ１,第９節第１日,25/04/05(土),14:03,横浜FM,0-0,東京Ｖ,日産ス,"24,170"
32232,https://data.j-league.or.jp/SFMS02/?match_card_id=32232,2025,Ｊ１,第９節第２日,25/04/06(日),13:01,岡山,1-0,FC東京,ＪＦＥス,"15,073"
32233,https://data.j-league.or.jp/SFMS02/?match_card_id=32233,2025,Ｊ１,第９節第２日,25/04/06(日),14:03,町田,2-2,川崎Ｆ,Ｇスタ,"11,974"
32234,https://data.j-league.or.jp/SFMS02/?match_card_id=32234,2025,Ｊ１,第９節第２日,25/04/06(日),14:03,横浜FC,2-0,清水,ニッパツ,"9,106"
32235,https://data.j-league.or.jp/SFMS02/?match_card_id=32235,2025,Ｊ１,第９節第２日,25/04/06(日),14:03,神戸,0-1,新潟,国立,"36,407"
32236,https://data.j-league.or.jp/SFMS02/?match_card_id=32236,2025,Ｊ１,第９節第２日,25/04/06(日),14:04,福岡,1-0,浦和,ベススタ,"11,683"
32237,https://data.j-league.or.jp/SFMS02/?match_card_id=32237,2025,Ｊ１,第９節第２日,25/04/06(日),15:03,鹿島,3-4,京都,カシマ,"16,859"
32238,https://data.j-league.or.jp/SFMS02/?match_card_id=32238,2025,Ｊ１,第９節第２日,25/04/06(日),15:03,柏,1-0,Ｇ大阪,三協Ｆ柏,"12,833"
32239,https://data.j-league.or.jp/SFMS02/?match_card_id=32239,2025,Ｊ１,第９節第２日,25/04/06(日),15:03,湘南,2-1,名古屋,レモンＳ,"9,900"
32240,https://data.j-league.or.jp/SFMS02/?match_card_id=32240,2025,Ｊ１,第９節第２日,25/04/06(日),15:03,広島,2-1,Ｃ大阪,Ｅピース,"25,324"
32241,https://data.j-league.or.jp/SFMS02/?match_card_id=32241,2025,Ｊ１,第１０節第１日,25/04/11(金),19:03,FC東京,1-1,柏,国立,"43,813"
32242,https://data.j-league.or.jp/SFMS02/?match_card_id=32242,2025,Ｊ１,第１０節第２日,25/04/12(土),14:03,清水,1-1,川崎Ｆ,アイスタ,"17,629"
32243,https://data.j-league.or.jp/SFMS02/?match_card_id=32243,2025,Ｊ１,第１０節第２日,25/04/12(土),14:03,Ｇ大阪,2-0,名古屋,パナスタ,"28,074"
32244,https://data.j-league.or.jp/SFMS02/?match_card_id=32244,2025,Ｊ１,第１０節第２日,25/04/12(土),14:03,広島,0-1,岡山,Ｅピース,"26,135"
32245,https://data.j-league.or.jp/SFMS02/?match_card_id=32245,2025,Ｊ１,第１０節第２日,25/04/12(土),14:03,福岡,2-1,横浜FM,ベススタ,"8,255"
32246,https://data.j-league.or.jp/SFMS02/?match_card_id=32246,2025,Ｊ１,第１０節第２日,25/04/12(土),15:03,東京Ｖ,0-1,神戸,味スタ,"17,474"
32247,https://data.j-league.or.jp/SFMS02/?match_card_id=32247,2025,Ｊ１,第１０節第２日,25/04/12(土),15:05,Ｃ大阪,1-0,鹿島,ヨドコウ,"19,410"
32248,https://data.j-league.or.jp/SFMS02/?match_card_id=32248,2025,Ｊ１,第１０節第２日,25/04/12(土),16:03,京都,2-0,湘南,サンガＳ,"11,419"
32249,https://data.j-league.or.jp/SFMS02/?match_card_id=32249,2025,Ｊ１,第１０節第３日,25/04/13(日),14:03,町田,0-2,浦和,国立,"44,363"
32250,https://data.j-league.or.jp/SFMS02/?match_card_id=32250,2025,Ｊ１,第１０節第３日,25/04/13(日),14:03,新潟,0-0,横浜FC,デンカＳ,"19,527"
32251,https://data.j-league.or.jp/SFMS02/?match_card_id=32251,2025,Ｊ１,第１１節第１日,25/04/19(土),14:03,新潟,1-2,京都,デンカＳ,"22,266"
32252,https://data.j-league.or.jp/SFMS02/?match_card_id=32252,2025,Ｊ１,第１１節第２日,25/04/20(日),14:03,横浜FC,1-1,Ｇ大阪,ニッパツ,"9,697"
32253,https://data.j-league.or.jp/SFMS02/?match_card_id=32253,2025,Ｊ１,第１１節第２日,25/04/20(日),14:04,清水,3-1,福岡,アイスタ,"16,366"
32254,https://data.j-league.or.jp/SFMS02/?match_card_id=32254,2025,Ｊ１,第１１節第２日,25/04/20(日),14:03,名古屋,2-1,広島,豊田ス,"29,072"
32255,https://data.j-league.or.jp/SFMS02/?match_card_id=32255,2025,Ｊ１,第１１節第２日,25/04/20(日),14:03,神戸,1-0,町田,ノエスタ,"21,920"
32256,https://data.j-league.or.jp/SFMS02/?match_card_id=32256,2025,Ｊ１,第１１節第２日,25/04/20(日),14:03,岡山,1-2,鹿島,ＪＦＥス,"15,325"
32257,https://data.j-league.or.jp/SFMS02/?match_card_id=32257,2025,Ｊ１,第１１節第２日,25/04/20(日),15:03,川崎Ｆ,0-0,東京Ｖ,Ｕ等々力,"21,870"
32258,https://data.j-league.or.jp/SFMS02/?match_card_id=32258,2025,Ｊ１,第１１節第２日,25/04/20(日),15:03,湘南,0-1,柏,レモンＳ,"11,936"
32259,https://data.j-league.or.jp/SFMS02/?match_card_id=32259,2025,Ｊ１,第１１節第２日,25/04/20(日),15:03,Ｃ大阪,1-1,FC東京,ヨドコウ,"16,113"
32260,https://data.j-league.or.jp/SFMS02/?match_card_id=32260,2025,Ｊ１,第１１節第２日,25/04/20(日),16:03,浦和,3-1,横浜FM,埼玉,"41,981"
32261,https://data.j-league.or.jp/SFMS02/?match_card_id=32261,2025,Ｊ１,第１２節第２日,25/04/25(金),19:03,鹿島,1-0,名古屋,カシマ,"13,550"
32262,https://data.j-league.or.jp/SFMS02/?match_card_id=32262,2025,Ｊ１,第１２節第２日,25/04/25(金),19:03,東京Ｖ,1-0,Ｃ大阪,味スタ,"11,334"
32263,https://data.j-league.or.jp/SFMS02/?match_card_id=32263,2025,Ｊ１,第１２節第２日,25/04/25(金),19:03,町田,0-1,湘南,Ｇスタ,"7,683"
32264,https://data.j-league.or.jp/SFMS02/?match_card_id=32264,2025,Ｊ１,第１２節第２日,25/04/25(金),19:03,京都,2-1,横浜FC,サンガＳ,"10,671"
32265,https://data.j-league.or.jp/SFMS02/?match_card_id=32265,2025,Ｊ１,第１２節第２日,25/04/25(金),19:03,福岡,1-1,岡山,ベススタ,"6,157"
