match_card_id,team,match_date,team_core_score,team_momentum,team_stability,core_player_count,available_player_count
25090,清水エスパルス,,0.658295,0.57584,0.909091,11,18
25091,北海道コンサドーレ札幌,,0.698084,0.627202,0.909091,12,18
25091,湘南ベルマーレ,,0.687641,0.633261,0.727273,12,17
25092,名古屋グランパス,,0.662199,0.586769,0.727273,13,18
25092,川崎フロンターレ,,0.737747,0.651642,0.909091,12,18
25093,ガンバ大阪,,0.686412,0.624583,0.818182,14,18
25093,セレッソ大阪,,0.589591,0.555039,0.636364,10,15
25094,サガン鳥栖,,0.680285,0.62596,1.0,12,18
25094,サンフレッチェ広島,,0.637616,0.575898,0.818182,12,17
25095,ヴィッセル神戸,,0.754025,0.697649,1.0,12,18
25095,横浜F・マリノス,,0.695134,0.621187,1.0,11,18
25096,横浜FC,,0.625615,0.548652,0.272727,11,17
25096,清水エスパルス,,0.728102,0.672934,0.909091,13,18
25097,アビスパ福岡,,0.721546,0.665604,0.909091,14,18
25097,柏レイソル,,0.70902,0.650781,0.818182,12,18
25098,大分トリニータ,,0.675365,0.598456,0.818182,11,18
25098,湘南ベルマーレ,,0.703418,0.638204,0.818182,12,18
25099,北海道コンサドーレ札幌,,0.665772,0.593765,0.818182,10,18
25099,徳島ヴォルティス,,0.645046,0.567259,0.545455,11,18
25100,ベガルタ仙台,,0.720838,0.648665,0.818182,13,18
25100,浦和レッズ,,0.65534,0.596633,0.727273,11,17
25101,FC東京,,0.622963,0.550843,0.636364,10,17
25101,鹿島アントラーズ,,0.708233,0.658188,0.909091,14,18
25102,ガンバ大阪,,0.684938,0.622043,0.727273,14,18
25102,川崎フロンターレ,,0.72314,0.639997,0.727273,12,18
25103,セレッソ大阪,,0.732708,0.692176,0.909091,12,18
25103,名古屋グランパス,,0.65966,0.596043,0.727273,11,18
25104,アビスパ福岡,,0.698722,0.634098,0.818182,12,18
25104,ベガルタ仙台,,0.703848,0.632466,0.818182,12,18
25105,名古屋グランパス,,0.639522,0.555145,0.818182,9,18
25105,清水エスパルス,,0.658796,0.617887,0.818182,12,17
25106,横浜F・マリノス,,0.672824,0.586176,1.0,11,18
25106,鹿島アントラーズ,,0.722587,0.669409,1.0,13,18
25107,FC東京,,0.640756,0.554136,0.454545,11,17
25107,柏レイソル,,0.59615,0.520988,0.636364,10,17
25108,サンフレッチェ広島,,0.676605,0.615914,0.727273,12,18
25108,徳島ヴォルティス,,0.676435,0.607778,0.818182,11,18
25109,サガン鳥栖,,0.668189,0.604203,0.909091,11,18
25109,大分トリニータ,,0.644126,0.564368,0.727273,11,17
25110,横浜FC,,0.69716,0.610909,0.636364,15,18
25110,湘南ベルマーレ,,0.700031,0.633802,1.0,13,18
25111,セレッソ大阪,,0.697091,0.639478,0.909091,12,17
25111,ヴィッセル神戸,,0.688336,0.634855,0.909091,12,18
25112,北海道コンサドーレ札幌,,0.665787,0.595352,1.0,11,18
25112,川崎フロンターレ,,0.674275,0.595123,0.636364,11,18
25113,ガンバ大阪,,0.623943,0.554312,0.727273,10,17
25113,浦和レッズ,,0.711505,0.650713,0.818182,12,18
25114,北海道コンサドーレ札幌,,0.729468,0.665657,0.909091,13,18
25114,清水エスパルス,,0.695471,0.628298,0.636364,13,18
25115,ベガルタ仙台,,0.656271,0.570635,0.727273,11,18
25115,大分トリニータ,,0.653696,0.58179,0.818182,13,18
25116,サガン鳥栖,,0.678562,0.614837,0.909091,11,18
25116,鹿島アントラーズ,,0.68277,0.598748,0.909091,10,18
25117,川崎フロンターレ,,0.682747,0.628031,0.909091,12,18
25117,横浜FC,,0.638048,0.562596,0.818182,13,17
25118,ヴィッセル神戸,,0.664372,0.602219,0.727273,11,18
25118,浦和レッズ,,0.67169,0.606145,0.818182,10,17
25119,柏レイソル,,0.612217,0.558556,0.636364,10,18
25119,横浜F・マリノス,,0.71652,0.652114,0.909091,12,18
