match_card_id,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_points_per_game,h2h_away_points_per_game,h2h_average_home_goals,h2h_average_away_goals,h2h_average_goal_difference,h2h_btts_rate,h2h_over_2_5_rate,h2h_last3_home_win_rate,h2h_last3_draw_rate,h2h_last3_away_win_rate,h2h_last3_goal_difference,h2h_last5_home_win_rate,h2h_last5_draw_rate,h2h_last5_away_win_rate,h2h_last5_goal_difference,h2h_same_venue_matches,h2h_same_venue_home_win_rate,h2h_same_venue_draw_rate,h2h_same_venue_away_win_rate,h2h_same_venue_goal_difference,h2h_weighted_home_win_rate,h2h_weighted_draw_rate,h2h_weighted_away_win_rate,h2h_weighted_goal_difference,h2h_days_since_last_match,h2h_home_unbeaten_streak,h2h_away_unbeaten_streak,h2h_confidence
26623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27342,2,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,210,2,2,0.25
27003,2,0.5,0.0,0.5,1.5,1.5,1.5,3.5,-2.0,0.5,0.5,0.5,0.0,0.5,-2.0,0.5,0.0,0.5,-2.0,1,1.0,0.0,0.0,1.0,0.4552553571515805,0.0,0.5447446428484194,-2.2684678570905166,200,0,1,0.25
26624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26626,2,0.5,0.5,0.0,2.0,0.5,2.5,1.5,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1,0.0,1.0,0.0,0.0,0.4682340338907668,0.5317659661092332,0.0,0.9364680677815335,160,2,1,0.25
26627,2,0.5,0.0,0.5,1.5,1.5,1.0,2.5,-1.5,0.5,0.5,0.5,0.0,0.5,-1.5,0.5,0.0,0.5,-1.5,1,0.0,0.0,1.0,-4.0,0.4684704620405769,0.0,0.5315295379594231,-1.6576476897971155,181,0,1,0.25
26628,2,0.0,0.0,1.0,0.0,3.0,0.0,2.0,-2.0,0.0,0.5,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2.0,1,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-2.0734550016074564,237,0,2,0.25
26629,2,0.5,0.5,0.0,2.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,1.0,0.0,0.0,1.0,0.44702661503682645,0.5529733849631735,0.0,0.44702661503682645,189,2,1,0.25
26630,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,188,2,2,0.25
26631,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26632,2,0.5,0.0,0.5,1.5,1.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1,1.0,0.0,0.0,1.0,0.45549084529893624,0.0,0.5445091547010639,-0.0890183094021275,232,0,1,0.25
26633,2,0.0,0.5,0.5,0.5,2.0,0.5,1.0,-0.5,0.5,0.0,0.0,0.5,0.5,-0.5,0.0,0.5,0.5,-0.5,1,0.0,0.0,1.0,-1.0,0.0,0.53507441483203,0.46492558516797,-0.46492558516797,213,1,2,0.25
26634,2,0.5,0.5,0.0,2.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1,1.0,0.0,0.0,2.0,0.549685112624918,0.45031488737508185,0.0,1.099370225249836,143,2,0,0.25
26635,2,0.5,0.5,0.0,2.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,0.0,1.0,0.0,0.0,0.45784680445094794,0.5421531955490522,0.0,0.45784680445094794,179,2,1,0.25
26636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26638,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26639,2,0.5,0.0,0.5,1.5,1.5,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1,1.0,0.0,0.0,1.0,0.5428601861275213,0.0,0.45713981387247876,0.08572037225504259,179,1,0,0.25
26640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26641,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26642,2,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,171,2,0,0.25
26643,2,0.5,0.5,0.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1,1.0,0.0,0.0,2.0,0.45878972221089104,0.541210277789109,0.0,0.9175794444217821,179,2,1,0.25
27411,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
