round_no,match_no,home_team,away_team,kickoff_at,venue,toto_result,product_type,competition
1292,2,札幌,浦和,2022-04-02,札幌ド,0,mini_toto,J.League
1292,3,横浜M,F東京,2022-04-02,日産ス,1,mini_toto,J.League
1292,4,鹿島,清水,2022-04-02,カシマ,1,mini_toto,J.League
1292,5,栃木,金沢,2022-04-03,カンセキ,2,mini_toto,J.League
1292,6,湘南,広島,2022-04-02,レモンS,2,mini_toto,J.League
1292,7,札幌,浦和,2022-04-02,札幌ド,0,mini_toto,J.League
1292,8,横浜M,F東京,2022-04-02,日産ス,1,mini_toto,J.League
1292,10,栃木,金沢,2022-04-03,カンセキ,2,mini_toto,J.League
1292,11,徳島,長崎,2022-04-03,鳴門大塚,0,mini_toto,J.League
1292,12,山口,大宮,2022-04-03,みらスタ,1,mini_toto,J.League
1292,13,熊本,新潟,2022-04-03,えがおS,2,mini_toto,J.League
1293,1,京都,G大阪,2022-04-06,サンガS,0,mini_toto,J.League
1293,2,磐田,川崎,2022-04-06,ヤマハ,0,mini_toto,J.League
1293,3,広島,横浜M,2022-04-06,Eスタ,1,mini_toto,J.League
1293,4,F東京,神戸,2022-04-06,味スタ,1,mini_toto,J.League
1293,5,福岡,鹿島,2022-04-06,ベススタ,2,mini_toto,J.League
1294,1,川崎,柏,2022-04-09,等々力,1,mini_toto,J.League
1294,2,鹿島,横浜M,2022-04-10,カシマ,2,mini_toto,J.League
1294,3,湘南,磐田,2022-04-10,レモンS,0,mini_toto,J.League
1294,4,名古屋,札幌,2022-04-10,豊田ス,2,mini_toto,J.League
1294,5,京都,鳥栖,2022-04-10,サンガS,1,mini_toto,J.League
1294,6,川崎,柏,2022-04-09,等々力,1,mini_toto,J.League
1294,7,鹿島,横浜M,2022-04-10,カシマ,2,mini_toto,J.League
1294,8,湘南,磐田,2022-04-10,レモンS,0,mini_toto,J.League
1294,9,名古屋,札幌,2022-04-10,豊田ス,2,mini_toto,J.League
1294,10,京都,鳥栖,2022-04-10,サンガS,1,mini_toto,J.League
1294,11,琉球,岡山,2022-04-09,タピスタ,0,mini_toto,J.League
1294,12,仙台,山口,2022-04-10,ユアスタ,1,mini_toto,J.League
1294,13,新潟,栃木,2022-04-10,デンカS,1,mini_toto,J.League
1295,1,京都,札幌,2022-04-13,サンガS,1,mini_toto,J.League
1295,2,鳥栖,柏,2022-04-13,駅スタ,2,mini_toto,J.League
1295,3,湘南,F東京,2022-04-13,レモンS,1,mini_toto,J.League
1295,4,徳島,清水,2022-04-13,鳴門大塚,1,mini_toto,J.League
