toto_round,match_date,home_raw,away_raw,home_team,away_team,home_class,away_class,match_class,competition_raw
1551,,川崎フロンターレ,鹿島アントラーズ,川崎F,鹿島,J1,J1,J1,J.League
1551,,京都サンガF.C.,アルビレックス新潟,京都,新潟,J1,J1,J1,J.League
1551,,柏レイソル,FC東京,柏,FC東京,J1,J1,J1,J.League
1551,,横浜FC,横浜F・マリノス,横浜FC,横浜FM,J1,J1,J1,J.League
1551,,名古屋グランパス,東京ヴェルディ,名古屋,東京V,J1,J1,J1,J.League
1551,,ヴィッセル神戸,湘南ベルマーレ,神戸,湘南,J1,J1,J1,J.League
1551,,ブラウブリッツ秋田,水戸ホーリーホック,秋田,水戸,J2,J2,J2,J.League
1551,,徳島ヴォルティス,藤枝MYFC,徳島,藤枝,J2,J2,J2,J.League
1551,,ベガルタ仙台,富山,仙台,富山,J2,J2,J2,J.League
1551,,FC今治,ヴァンフォーレ甲府,FC今治,甲府,Other,J2,Other,J.League
1550,,鹿島アントラーズ,ファジアーノ岡山,鹿島,岡山,J1,J1,J1,J.League
1550,,清水エスパルス,柏レイソル,清水,柏,J1,J1,J1,J.League
1550,,京都サンガF.C.,ガンバ大阪,京都,G大阪,J1,J1,J1,J.League
1550,,サンフレッチェ広島,名古屋グランパス,広島,名古屋,J1,J1,J1,J.League
1550,,FC東京,横浜FC,FC東京,横浜FC,J1,J1,J1,J.League
1550,,湘南ベルマーレ,横浜F・マリノス,湘南,横浜FM,J1,J1,J1,J.League
1550,,アビスパ福岡,ヴィッセル神戸,福岡,神戸,J1,J1,J1,J.League
1550,,東京ヴェルディ,川崎フロンターレ,東京V,川崎F,J1,J1,J1,J.League
1550,,アルビレックス新潟,町田,新潟,町田,J1,J1,J1,J.League
1550,,富山,ジェフユナイテッド千葉,富山,千葉,J2,J2,J2,J.League
1550,,大分,大宮,大分,大宮,J2,J2,J2,Cup/Other
1550,,モンテディオ山形,V・ファーレン長崎,山形,長崎,J2,J2,J2,J.League
1550,,山口,ブラウブリッツ秋田,山口,秋田,J2,J2,J2,J.League
1549,,川崎フロンターレ,3,川崎F,3,J1,Other,Other,Cup/Other
1549,,横浜F・マリノス,0,横浜FM,0,J1,Other,Other,Cup/Other
1548,,町田,鹿島アントラーズ,町田,鹿島,J1,J1,J1,J.League
1548,,アビスパ福岡,アルビレックス新潟,福岡,新潟,J1,J1,J1,J.League
1548,,セレッソ大阪,東京ヴェルディ,C大阪,東京V,J1,J1,J1,J.League
1548,,名古屋グランパス,清水エスパルス,名古屋,清水,J1,J1,J1,J.League
1548,,川崎フロンターレ,ヴィッセル神戸,川崎F,神戸,J1,J1,J1,J.League
1548,,柏レイソル,京都サンガF.C.,柏,京都,J1,J1,J1,J.League
1548,,横浜F・マリノス,ファジアーノ岡山,横浜FM,岡山,J1,J1,J1,J.League
1548,,横浜FC,サンフレッチェ広島,横浜FC,広島,J1,J1,J1,J.League
1548,,ガンバ大阪,FC東京,G大阪,FC東京,J1,J1,J1,J.League
1548,,いわきFC,富山,いわき,富山,J2,J2,J2,J.League
1548,,ブラウブリッツ秋田,モンテディオ山形,秋田,山形,J2,J2,J2,J.League
1548,,愛媛FC,山口,愛媛,山口,J2,J2,J2,J.League
1548,,熊本,V・ファーレン長崎,熊本,長崎,J2,J2,J2,J.League
1547,,湘南ベルマーレ,町田,湘南,町田,J1,J1,J1,J.League
1547,,FC東京,セレッソ大阪,FC東京,C大阪,J1,J1,J1,J.League
1547,,アルビレックス新潟,横浜F・マリノス,新潟,横浜FM,J1,J1,J1,J.League
1547,,ファジアーノ岡山,アビスパ福岡,岡山,福岡,J1,J1,J1,J.League
1547,,清水エスパルス,ガンバ大阪,清水,G大阪,J1,J1,J1,J.League
1547,,鹿島アントラーズ,サンフレッチェ広島,鹿島,広島,J1,J1,J1,J.League
1547,,横浜FC,川崎フロンターレ,横浜FC,川崎F,J1,J1,J1,J.League
1547,,東京ヴェルディ,柏レイソル,東京V,柏,J1,J1,J1,J.League
1547,,ヴィッセル神戸,名古屋グランパス,神戸,名古屋,J1,J1,J1,J.League
1547,,大分,ブラウブリッツ秋田,大分,秋田,J2,J2,J2,Cup/Other
1547,,北海道コンサドーレ札幌,FC今治,札幌,FC今治,J1,Other,Other,J.League
1547,,山口,いわきFC,山口,いわき,J2,J2,J2,J.League
1547,,モンテディオ山形,ベガルタ仙台,山形,仙台,J2,J2,J2,J.League
1546,,日本,ｲﾝﾄﾞﾈｼ,日本,インドネシ,Other,Other,Other,National Team
