roundNo,snapshotDate,homeTeam,awayTeam,prediction,actual,correct,probH,probD,probA,confidence,margin,entropy,isDraw
1610,2025-02-22,名古屋グランパス,V・ファーレン長崎,A,A,True,0.3487026067373741,0.20238280974676562,0.4489145835158607,0.4489145835158607,0.10021197677848664,1.050242172039596,False
1610,2025-02-22,川崎フロンターレ,FC東京,H,A,False,0.4982760854467699,0.17233080632837697,0.32939310822485296,0.4982760854467699,0.16888297722191692,1.0159078033975766,False
1610,2025-02-22,セレッソ大阪,サンフレッチェ広島,A,A,True,0.25160774498612243,0.2093719568159574,0.5390202981979211,0.5390202981979211,0.28741255321179865,1.007688119683865,False
1610,2025-02-22,京都サンガF.C.,アビスパ福岡,A,H,False,0.33960126266966806,0.21458453135950473,0.44581420597082727,0.44581420597082727,0.10621294330115921,1.0571726187810822,False
1610,2025-02-22,東京ヴェルディ,町田,H,D,False,0.4556330954904229,0.14413159435678313,0.40023531015279373,0.4556330954904229,0.05539778533762918,1.0038418652990648,True
1610,2025-02-22,宮崎,サガン鳥栖,H,H,True,0.5462645385164323,0.19812392032009946,0.25561154116346835,0.5462645385164323,0.29065299735296396,0.9997140865988212,False
1610,2025-02-22,徳島ヴォルティス,富山,A,A,True,0.28283220873208154,0.2426721682704987,0.4744956229974201,0.4744956229974201,0.19166341426533856,1.0545614962001748,False
1610,2025-02-22,水戸ホーリーホック,ジェフユナイテッド千葉,H,D,False,0.482434229391574,0.17497779983794925,0.3425879707704769,0.482434229391574,0.13984625862109706,1.0236440124216573,True
1613,2025-03-01,FC東京,柏レイソル,H,A,False,0.5106939990904317,0.1797774939474904,0.3095285069620784,0.5106939990904317,0.20116549212835327,1.0146687380425936,False
1613,2025-03-01,ベガルタ仙台,八戸,H,D,False,0.49749316912148905,0.19663779448238686,0.3058690363961239,0.49749316912148905,0.19162413272536516,1.0294785564214448,True
1613,2025-03-01,浦和レッズ,鹿島アントラーズ,A,A,True,0.2043982945824388,0.2947135303097438,0.5008881751078181,0.5008881751078181,0.20617464479807435,1.0308870122785871,False
1613,2025-03-01,富山,FC大阪,H,D,False,0.47369709953135114,0.20267132776704733,0.32363157270160203,0.47369709953135114,0.1500655268297491,1.0425430426373155,True
1613,2025-03-01,いわきFC,藤枝MYFC,H,A,False,0.4498430804680096,0.19460474175089787,0.35555217778109255,0.4498430804680096,0.09429090268691703,1.0455566839889148,False
1613,2025-03-01,FC今治,アルビレックス新潟,A,A,True,0.2648745906216119,0.26340583762581665,0.47171957175257195,0.47171957175257195,0.20684498113096006,1.0577208089802832,False
1613,2025-03-01,北海道コンサドーレ札幌,岐阜,A,A,True,0.3992569262920071,0.17384176538349289,0.4269013083245002,0.4269013083245002,0.027644382032493087,1.0341124854978427,False
1613,2025-03-01,栃木シティ,湘南ベルマーレ,H,A,False,0.380497711387775,0.24253613803523935,0.37696615057698607,0.380497711387775,0.003531560810788925,1.0790114006836404,False
1613,2025-03-01,V・ファーレン長崎,セレッソ大阪,A,H,False,0.3765789201003336,0.18818880763758652,0.43523227226207994,0.43523227226207994,0.05865335216174633,1.0441699733589909,False
1613,2025-03-01,ファジアーノ岡山,名古屋グランパス,H,D,False,0.535976150563444,0.1823654883976145,0.28165836103894154,0.535976150563444,0.2543177895245025,1.0014871475594673,True
