windowNo,roundNo,snapshotDate,league,homeTeam,awayTeam,prediction,actual,correct,confidence,probHome,probDraw,probAway,homeAttackRating,defenseRatingDiff,awayAttackRating,homeAwayDiff,homeRank,awayAwayGoalsAgainstPerMatch,rankDiff,homeHomeElo,homeHomeGoalsPerMatch,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff
36,1572,2024-09-28,J.League,横浜FC,湘南ベルマーレ,H,H,True,0.41068965675835417,0.41068965675835417,0.3494892745157337,0.23982106872591263,0.3472222222222222,0.2571428571428573,0.324074074074074,47,16,0.7777777777777778,5,1486,0.5,44,5,7,0.0231481481481481,16.706058201058198,3,0,3,1,0,1,0,0,0,2,5,-3
37,1572,2024-09-28,J.League,ガンバ大阪,アルビレックス新潟,D,H,False,0.43029154228792044,0.2749474910250451,0.43029154228792044,0.2947609666870347,0.4861111111111111,0.5483193277310925,0.3823178016726403,45,7,0.6428571428571429,11,1532,0.6666666666666666,82,11,15,0.1037933094384707,31.58042252743391,9,6,3,3,2,1,4,2,2,0,0,0
38,1572,2024-09-28,J.League,ヴィッセル神戸,清水エスパルス,H,H,True,0.44018725020740695,0.44018725020740695,0.22708774515184513,0.3327250046407482,0.4558404558404558,0.6074999999999999,0.4062126642771803,41,9,0.7222222222222222,4,1509,0.5833333333333334,49,4,3,0.0496277915632755,18.28142555831265,7,7,0,2,2,0,3,3,0,0,0,0
39,1572,2024-09-28,J.League,アビスパ福岡,サンフレッチェ広島,A,A,True,0.3887496130960446,0.22548427199828594,0.3857661149056697,0.3887496130960446,0.4264870931537598,-1.090384615384615,0.5432098765432098,-43,11,0.4615384615384615,-9,1494,0.6666666666666666,88,9,15,0.11672278338945,33.29142147975481,6,5,1,2,1,1,1,5,-4,0,0,0
40,1572,2024-09-28,J.League,東京ヴェルディ,浦和レッズ,H,D,False,0.424535973651006,0.424535973651006,0.26551536315615787,0.3099486631928364,0.3935185185185185,-0.4263157894736844,0.4558404558404558,44,8,0.7142857142857143,2,1519,0.5625,30,2,1,0.0623219373219373,11.097727545359124,3,1,2,1,0,1,1,0,1,0,2,-2
41,1572,2024-09-28,J.League,セレッソ大阪,京都サンガF.C.,H,A,False,0.3651023972516965,0.3651023972516965,0.3474271918094373,0.28747041093886677,0.4497354497354496,-0.5664705882352936,0.4778972520908004,-10,12,0.4,-6,1525,0.7857142857142857,49,6,13,0.0281618023553507,18.768926478118125,2,4,-2,0,1,-1,1,1,0,0,0,0
42,1572,2024-09-28,J.League,町田,ファジアーノ岡山,H,H,True,0.39064581297888473,0.39064581297888473,0.3136644090875909,0.29568977793352436,0.5495818399044206,0.8325,0.3575989782886334,55,3,0.7692307692307693,16,1520,0.6153846153846154,114,16,23,0.1919828616157871,44.10489657232316,2,0,2,0,0,0,1,0,1,0,3,-3
43,1572,2024-09-28,J.League,名古屋グランパス,鹿島アントラーズ,A,A,True,0.4078994076002795,0.23905357144727482,0.35304702095244617,0.4078994076002795,0.3935185185185185,-1.7678571428571428,0.5664488017429193,-17,15,0.4117647058823529,-14,1517,0.6666666666666666,140,14,31,0.1729302832244008,52.88815748521631,6,7,-1,2,2,0,0,5,-5,1,0,1
44,1574,2024-10-05,J.League,熊本,いわきFC,H,A,False,0.46572056740692314,0.46572056740692314,0.22567516341031843,0.30860426918275824,0.2962962962962963,0.2454545454545453,0.4558404558404558,-5,35,0.8333333333333334,1,1484,0.4285714285714285,21,1,2,0.1595441595441595,7.680999740999741,3,2,1,1,0,1,1,1,0,0,0,0
45,1574,2024-10-05,J.League,北海道コンサドーレ札幌,モンテディオ山形,D,A,False,0.3689570884572181,0.310420954992356,0.3689570884572181,0.3206219565504261,0.5228758169934641,0.3321428571428573,0.4186795491143316,-11,24,0.4444444444444444,-4,1510,0.6666666666666666,50,4,3,0.1041962678791324,18.5872678250044,9,6,3,3,2,1,3,0,3,0,1,-1
46,1574,2024-10-05,J.League,鹿島アントラーズ,ガンバ大阪,A,D,False,0.3897294200651486,0.2499830490682307,0.36028753086662096,0.3897294200651486,0.5714285714285714,1.3169117647058823,0.4938271604938271,75,1,0.6470588235294118,5,1575,0.8823529411764706,69,5,19,0.0776014109347443,25.67890263512812,9,9,0,3,3,0,5,5,0,0,0,0
47,1574,2024-10-05,J.League,浦和レッズ,ヴィッセル神戸,H,H,True,0.39827286962461456,0.39827286962461456,0.25701242351259024,0.34471470686279554,0.4663923182441701,-0.200274725274725,0.4663923182441701,27,10,0.5,-2,1545,0.75,22,2,2,0.0,8.240054945054943,1,9,-8,0,3,-3,1,4,-3,0,0,0
48,1574,2024-10-05,J.League,アビスパ福岡,横浜FC,H,H,True,0.45217504457693647,0.45217504457693647,0.23953534666109222,0.3082896087619718,0.4139433551198257,-0.1257763975155279,0.3591470258136924,17,11,0.7142857142857143,1,1486,0.625,19,1,1,0.0547963293061332,6.936114545364332,3,3,0,1,1,0,0,1,-1,1,0,1
49,1574,2024-10-05,J.League,徳島ヴォルティス,FC今治,H,H,True,0.42728221893181023,0.42728221893181023,0.16283099130468637,0.4098867897635037,0.5228758169934641,-0.1499999999999999,0.582010582010582,-34,23,0.1666666666666666,2,1507,0.6666666666666666,11,2,3,0.0591347650171178,4.391826953003424,4,7,-3,1,2,-1,1,4,-3,0,0,0
50,1574,2024-10-05,J.League,京都サンガF.C.,川崎フロンターレ,H,D,False,0.4948873374196054,0.4948873374196054,0.13587876129374685,0.3692339012866484,0.4861111111111111,0.1800000000000001,0.5679012345679012,-41,5,0.4,2,1508,0.625,3,2,2,0.0817901234567901,1.6023580246913578,4,4,0,1,1,0,2,1,1,0,0,0
51,1574,2024-10-05,J.League,柏レイソル,横浜F・マリノス,A,H,False,0.396218870482391,0.27422107141575197,0.32956005810185696,0.396218870482391,0.5679012345679012,0.5899159663865543,0.3831417624521073,51,4,0.6875,10,1522,0.7333333333333333,59,10,16,0.1847594721157939,23.304935087700468,3,6,-3,0,2,-2,3,1,2,0,0,0
52,1574,2024-10-05,J.League,サンフレッチェ広島,町田,H,H,True,0.47678364182919253,0.47678364182919253,0.12994400438367396,0.3932723537871337,0.5495818399044206,0.339230769230769,0.5555555555555555,-5,2,0.5,1,1534,0.7058823529411765,14,1,1,0.0059737156511349,5.21904089697638,7,4,3,2,1,1,5,2,3,0,0,0
53,1574,2024-10-05,J.League,アルビレックス新潟,ファジアーノ岡山,H,A,False,0.5200457353237418,0.5200457353237418,0.25458242141264925,0.22537184326360957,0.3703703703703703,0.035064935064935,0.345679012345679,16,18,0.7857142857142857,1,1474,0.5294117647058824,3,1,4,0.0246913580246913,1.311951258617925,6,0,6,2,0,2,0,0,0,1,4,-3
54,1574,2024-10-05,J.League,清水エスパルス,FC東京,H,H,True,0.3756500666862149,0.3756500666862149,0.2586264606006343,0.36572347271315186,0.3935185185185185,-0.1454887218045111,0.3584229390681003,35,15,0.6666666666666666,1,1515,0.6923076923076923,5,1,0,0.0350955794504181,2.036116860250986,6,3,3,2,1,1,0,0,0,1,2,-1
