window,alpha,train_round_start,train_round_end,test_round_start,test_round_end,train_rows,test_rows,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,draw_support,predicted_draws
5,0.4,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.093127294193782,0.0,0.0,0.0,17,0
5,0.5,1506,1593,1595,1604,810,79,0.21518987341772153,0.11805555555555557,0.07621308016877638,1.1082868489440174,0.21518987341772153,1.0,0.3541666666666667,17,79
5,0.6,1506,1593,1595,1604,810,79,0.21518987341772153,0.11805555555555557,0.07621308016877638,1.1257407487284004,0.21518987341772153,1.0,0.3541666666666667,17,79
6,0.0,1506,1604,1605,1614,889,102,0.4019607843137255,0.3029398462234283,0.34001117407614334,1.069441317724058,0.0,0.0,0.0,26,1
6,0.1,1506,1604,1605,1614,889,102,0.4019607843137255,0.32351947427969185,0.35507217440377364,1.06881254701832,0.25,0.038461538461538464,0.06666666666666667,26,4
6,0.2,1506,1604,1605,1614,889,102,0.4117647058823529,0.34689754689754687,0.3748408454290807,1.0707001541598125,0.2857142857142857,0.07692307692307693,0.12121212121212122,26,7
6,0.3,1506,1604,1605,1614,889,102,0.4215686274509804,0.3757735283827517,0.3964783958715997,1.0748448214886717,0.36363636363636365,0.15384615384615385,0.21621621621621623,26,11
6,0.4,1506,1604,1605,1614,889,102,0.4411764705882353,0.41929633375408004,0.42970739424337906,1.0810686452608036,0.4666666666666667,0.2692307692307692,0.34146341463414637,26,15
6,0.5,1506,1604,1605,1614,889,102,0.37254901960784315,0.3743008993401986,0.3672329924559089,1.089252856922173,0.3191489361702128,0.5769230769230769,0.410958904109589,26,47
6,0.6,1506,1604,1605,1614,889,102,0.3627450980392157,0.36401580052596033,0.3599045877756824,1.0993243857678394,0.2830188679245283,0.5769230769230769,0.379746835443038,26,53
7,0.0,1506,1614,1615,1625,991,114,0.47368421052631576,0.3758720930232558,0.4477789677682579,1.0525500702005903,0.1111111111111111,0.043478260869565216,0.0625,23,9
7,0.1,1506,1614,1615,1625,991,114,0.47368421052631576,0.37706476530005945,0.4491728429808925,1.0561753119053765,0.1,0.043478260869565216,0.06060606060606061,23,10
7,0.2,1506,1614,1615,1625,991,114,0.4824561403508772,0.41036046115482233,0.4699413938558455,1.0617800862299533,0.21428571428571427,0.13043478260869565,0.16216216216216217,23,14
