feature,random_forest_importance,random_forest_rank,lightgbm_importance,lightgbm_rank,mean_importance,geometric_mean_importance,mean_rank,rank_gap,relative_disagreement,consensus_score,family,side,position,present_in_random_forest,present_in_lightgbm,consensus_rank
core_FWDiff,0.020116536226092472,25,0.019939671547762074,19,0.020028103886927273,0.020027908653350232,22.0,6,0.00879200456493064,0.020028016031817607,Core player strength,Difference,FW,True,True,19
team_momentumRatio,0.020588467152872974,17,0.01925689170182027,20,0.019922679427346622,0.019911551478208795,18.5,3,0.06467579354818029,0.019917671850234603,Momentum,Ratio,Team-level,True,True,20
core_DFDiff,0.020114166454309072,26,0.01896389044139207,21,0.01953902844785057,0.019530561921241304,23.5,5,0.05718735675823039,0.0195352185108764,Core player strength,Difference,DF,True,True,21
team_core_scoreRatio,0.020363842984163272,21,0.018415590313251667,23,0.01938971664870747,0.019365231462591274,22.0,2,0.09567215149059728,0.019378698314955187,Core player strength,Ratio,Team-level,True,True,22
momentum_DFDiff,0.020139561361689873,24,0.01855480431147217,22,0.01934718283658102,0.0193309497952129,23.0,2,0.07868875700700614,0.019339877967965366,Momentum,Difference,DF,True,True,23
momentum_FWDiff,0.020517242969044072,19,0.018096482500627165,26,0.019306862734835617,0.01926888497942789,22.5,7,0.11798663553720608,0.01928977274490214,Momentum,Difference,FW,True,True,24
team_core_scoreDiff,0.020386224641817073,20,0.018217109913149968,25,0.01930166727748352,0.019271172642424953,22.5,5,0.10640100198924166,0.019287944691707165,Core player strength,Difference,Team-level,True,True,25
team_momentumDiff,0.020197131031407273,23,0.018336593393222664,24,0.019266862212314967,0.019244390856365267,23.5,1,0.09211890715029795,0.019256750102137603,Momentum,Difference,Team-level,True,True,26
momentum_MFDiff,0.01990292894278877,28,0.017920429566771166,27,0.01891167925477997,0.018885683368406278,27.5,1,0.09960842354993704,0.01889998110591181,Momentum,Difference,MF,True,True,27
core_MFRatio,0.020197311005121274,22,0.017460871408575163,28,0.01882909120684822,0.018779314424638153,25.0,6,0.13548534237316312,0.01880669165485369,Core player strength,Ratio,MF,True,True,28
momentum_DFRatio,0.01984657873351517,29,0.01722713665730326,29,0.018536857695409213,0.018490530658209745,29.0,0,0.13198456577245846,0.018516010528669455,Momentum,Ratio,DF,True,True,29
core_DFRatio,0.01959807728064797,31,0.016738844787065162,30,0.018168461033856567,0.018112127807788748,30.5,1,0.14589352070808204,0.01814311108212605,Core player strength,Ratio,DF,True,True,30
core_FWRatio,0.01939073984436607,32,0.01622553280927486,31,0.017808136326820465,0.017737674186343456,31.5,1,0.16323291738715445,0.017776428363605812,Core player strength,Ratio,FW,True,True,31
momentum_MFRatio,0.01982005427056537,30,0.015241311215253156,32,0.01753068274290926,0.01738055279445663,31.0,2,0.2310156669001696,0.01746312426610558,Momentum,Ratio,MF,True,True,32
team_stabilityRatio,0.017731337328039262,33,0.014854768909830753,33,0.01629305311893501,0.01622944603091181,33.0,0,0.16223076494403374,0.01626442992932457,Team stability,Ratio,Team-level,True,True,33
core_player_countRatio,0.014411879580415652,34,0.014108039251999351,34,0.014259959416207502,0.014259150143525103,34.0,0,0.021082630251031957,0.014259595243500425,Core player strength,Ratio,Team-level,True,True,34
team_stabilityDiff,0.012582188372690544,36,0.01349832749638505,35,0.013040257934537797,0.013032210068740646,35.5,1,0.06787056573785563,0.01303663639492908,Team stability,Difference,Team-level,True,True,35
available_count_MFRatio,0.012828644971815146,35,0.012682174294883346,36,0.012755409633349247,0.012755199390826415,35.5,1,0.011417470609998136,0.012755315024213974,Availability,Ratio,MF,True,True,36
starter_count_MFRatio,0.011666273139929842,37,0.01080814298084244,38,0.01123720806038614,0.011229013676629101,37.5,1,0.07355649476012202,0.011233520587695472,Starter availability,Ratio,MF,True,True,37
momentum_GKDiff,0.010950206570942539,38,0.011166900071618741,37,0.01105855332128064,0.011058022542086729,37.5,1,0.01940498251855411,0.011058314470643382,Momentum,Difference,GK,True,True,38
home_team_stability,0.010511421552329437,39,0.010430276396894138,39,0.010470848974611788,0.010470770368748713,39.0,0,0.0077197127934914705,0.010470813601973404,Team stability,Home,Team-level,True,True,39
momentum_GKRatio,0.010471688148281937,40,0.009717406227213437,41,0.010094547187747688,0.010087499572319795,40.5,1,0.072030594340441,0.010091375760805137,Momentum,Ratio,GK,True,True,40
available_count_FWRatio,0.009515122709211734,44,0.010130192308055936,40,0.009822657508633835,0.009817842068350105,42.0,4,0.06071647804307473,0.009820490560506157,Availability,Ratio,FW,True,True,41
core_GKDiff,0.009712800333365135,43,0.009348825957173434,42,0.009530813145269285,0.00952907549940742,42.5,1,0.037473680473116104,0.009530031204631445,Core player strength,Difference,GK,True,True,42
available_count_DFRatio,0.010004239186961035,41,0.009007614002826934,44,0.009505926594893984,0.009492856524150155,42.5,3,0.099620287511023,0.009500045063059261,Availability,Ratio,DF,True,True,43
core_GKRatio,0.009804086642847435,42,0.009096095324676133,43,0.009450090983761785,0.009443458406469755,42.5,1,0.07221389854686935,0.009447106323980372,Core player strength,Ratio,GK,True,True,44
