round_no,fixture_count,jleague_in_scope_count,out_of_scope_count,matched_count,coverage_rate,no_team_match_count,date_mismatch_count,inferred_round_date
1317,13,9,4,9,1.0,0,0,2022-07-16
1318,13,11,2,11,1.0,0,0,2022-07-30
1319,5,0,5,0,0.0,0,0,2022-07-27
1320,13,9,4,9,1.0,0,0,2022-08-06
1321,5,0,5,0,0.0,0,0,2022-08-03
1322,13,13,0,13,1.0,0,0,2022-08-13
1323,12,11,1,11,1.0,0,0,2022-08-20
1324,12,9,3,9,1.0,0,0,2022-08-27
1325,13,9,4,9,1.0,0,0,2022-09-03
1326,13,11,2,11,1.0,0,0,2022-09-10
1327,13,13,0,13,1.0,0,0,2022-09-17
1328,13,13,0,13,1.0,0,0,2022-09-24
1329,13,13,0,13,1.0,0,0,2022-10-01
1330,13,13,0,13,1.0,0,0,2022-10-08
1331,13,13,0,13,1.0,0,0,2022-10-15
1332,13,13,0,13,1.0,0,0,2022-10-23
1333,13,13,0,13,1.0,0,0,2022-10-29
1334,13,13,0,13,1.0,0,0,2022-11-05
1335,13,0,13,0,0.0,0,0,2022-11-12
1336,13,0,13,0,0.0,0,0,2022-11-22
1337,13,0,13,0,0.0,0,0,2022-11-25
1338,13,0,13,0,0.0,0,0,2022-11-30
1341,6,0,6,0,0.0,0,0,2022-12-16
1343,5,0,5,0,0.0,0,0,2022-12-29
1344,6,0,6,0,0.0,0,0,2023-01-01
1345,6,0,6,0,0.0,0,0,2023-01-04
1346,13,0,13,0,0.0,0,0,2023-01-21
1347,6,0,6,0,0.0,0,0,2023-01-21
1348,13,0,13,0,0.0,0,0,2023-02-04
1349,13,0,13,0,0.0,0,0,2023-02-11
1351,13,13,0,13,1.0,0,0,2023-02-18
1352,13,13,0,13,1.0,0,0,2023-02-25
1353,13,13,0,13,1.0,0,0,2023-03-04
1354,6,5,1,0,0.0,0,5,2023-03-01
1355,13,13,0,13,1.0,0,0,2023-03-11
1356,13,13,0,13,1.0,0,0,2023-03-18
1357,13,13,0,4,0.3076923076923077,0,9,2023-03-25
1358,13,13,0,13,1.0,0,0,2023-04-01
1359,6,5,1,0,0.0,0,5,2023-03-29
1360,13,13,0,13,1.0,0,0,2023-04-08
1361,13,13,0,13,1.0,0,0,2023-04-15
1362,6,5,1,0,0.0,0,5,2023-04-12
1363,13,13,0,13,1.0,0,0,2023-04-22
1364,13,13,0,13,1.0,0,0,2023-04-29
1365,13,13,0,13,1.0,0,0,2023-05-03
1366,13,13,0,13,1.0,0,0,2023-05-06
1367,13,13,0,13,1.0,0,0,2023-05-13
1368,13,13,0,13,1.0,0,0,2023-05-20
1369,6,5,1,0,0.0,0,5,2023-05-17
1370,13,13,0,13,1.0,0,0,2023-05-27
1371,13,13,0,13,1.0,0,0,2023-06-03
1372,13,13,0,0,0.0,5,8,2023-06-07
1373,13,13,0,13,1.0,0,0,2023-06-10
1374,13,13,0,3,0.23076923076923078,0,10,2023-06-18
1376,13,13,0,13,1.0,0,0,2023-06-24
1377,6,0,6,0,0.0,0,0,2023-06-21
1378,13,13,0,13,1.0,0,0,2023-07-01
1379,5,5,0,5,1.0,0,0,2023-07-05
1380,13,13,0,13,1.0,0,0,2023-07-08
1381,12,12,0,0,0.0,8,4,2023-07-12
1382,12,12,0,12,1.0,0,0,2023-07-15
1383,13,13,0,13,1.0,0,0,2023-07-22
1384,13,13,0,13,1.0,0,0,2023-07-29
1385,6,5,1,0,0.0,2,3,2023-07-26
1386,13,13,0,13,1.0,0,0,2023-08-05
1387,13,13,0,13,1.0,0,0,2023-08-12
1389,12,12,0,12,1.0,0,0,2023-08-19
1390,13,13,0,13,1.0,0,0,2023-08-26
1391,5,0,5,0,0.0,0,0,2023-08-23
1392,13,13,0,13,1.0,0,0,2023-09-02
1393,6,0,6,0,0.0,0,0,2023-08-30
1394,13,13,0,13,1.0,0,0,2023-09-09
1396,13,13,0,13,1.0,0,0,2023-09-16
1397,13,13,0,13,1.0,0,0,2023-09-23
1398,5,0,5,0,0.0,0,0,2023-09-22
1399,13,13,0,13,1.0,0,0,2023-09-30
1400,13,13,0,13,1.0,0,0,2023-10-07
1402,13,13,0,13,1.0,0,0,2023-10-14
1403,6,0,6,0,0.0,0,0,2023-10-13
1404,13,13,0,13,1.0,0,0,2023-10-21
1405,13,13,0,13,1.0,0,0,2023-10-28
1406,13,13,0,13,1.0,0,0,2023-11-04
1407,13,13,0,13,1.0,0,0,2023-11-11
1408,13,0,13,0,0.0,0,0,2023-11-16
1409,6,5,1,5,1.0,0,0,2023-11-11
1410,13,0,13,0,0.0,0,0,2023-11-21
1412,13,13,0,13,1.0,0,0,2023-11-25
1413,13,13,0,13,1.0,0,0,2023-12-02
1414,6,0,6,0,0.0,0,0,2023-11-28
1415,13,0,13,0,0.0,0,0,2023-12-09
1416,13,0,13,0,0.0,0,0,2023-12-16
1417,6,0,6,0,0.0,0,0,2023-12-12
1418,6,0,6,0,0.0,0,0,2023-12-16
1419,6,0,6,0,0.0,0,0,2023-12-21
1420,6,0,6,0,0.0,0,0,2023-12-26
1423,6,0,6,0,0.0,0,0,2024-01-05
1424,6,0,6,0,0.0,0,0,2024-01-13
1425,6,0,6,0,0.0,0,0,2024-01-20
1426,6,0,6,0,0.0,0,0,2024-01-23
1427,13,0,13,0,0.0,0,0,2024-02-03
1428,13,0,13,0,0.0,0,0,2024-02-10
1429,13,0,13,0,0.0,0,0,2024-02-17
1431,13,13,0,13,1.0,0,0,2024-02-24
1433,13,13,0,13,1.0,0,0,2024-03-02
1434,6,5,1,0,0.0,4,1,2024-02-28
1435,13,13,0,13,1.0,0,0,2024-03-09
1436,6,5,1,0,0.0,3,2,2024-03-06
1437,13,13,0,13,1.0,0,0,2024-03-16
1438,13,13,0,13,1.0,0,0,2024-03-20
1439,13,13,0,13,1.0,0,0,2024-03-23
1440,13,0,13,0,0.0,0,0,2024-03-26
1441,13,13,0,13,1.0,0,0,2024-03-30
1442,13,13,0,13,1.0,0,0,2024-04-03
1443,13,13,0,13,1.0,0,0,2024-04-07
1444,6,5,1,5,1.0,0,0,2024-04-03
1445,13,13,0,13,1.0,0,0,2024-04-13
1446,6,5,1,0,0.0,5,0,2024-04-10
1447,13,13,0,13,1.0,0,0,2024-04-20
