match_card_id,match_date,home_team,away_team,actual,home_key,away_key,rf_prob_away,rf_prob_draw,rf_prob_home,rf_prediction,lgbm_prob_away,lgbm_prob_draw,lgbm_prob_home,lgbm_prediction,prob_away,prob_draw,prob_home,ensemble_prediction,rf_hit,lgbm_hit,ensemble_hit,models_agree,date_distance,round_no,toto_match_no,fixture_home_team,fixture_away_team,fixture_actual,inferred_round_date,date_distance_days,fixture_count,jleague_in_scope_count,coverage_rate
32253,2025-04-20,清水,福岡,H,清水,福岡,0.28042714903743254,0.31530981871334757,0.40426303224921994,H,0.2678456815649554,0.2630050635616857,0.4691492548733589,H,0.2753945620484417,0.2943879166526828,0.4302175212988755,H,True,True,True,True,0,1531,7,清水,福岡,H,2025-04-19,0,13,13,1.0
32254,2025-04-20,名古屋,広島,H,名古屋,広島,0.3071442651835043,0.336612474202629,0.3562432606138667,H,0.2548243525488153,0.305056176687796,0.4401194707633886,H,0.28621630012962873,0.3239899551966958,0.38979374467367545,H,True,True,True,True,0,1531,8,名古屋,広島,H,2025-04-19,0,13,13,1.0
32257,2025-04-20,川崎F,東京V,D,川崎f,東京v,0.2783022426412794,0.2942430353913659,0.4274547219673547,H,0.2357445544081917,0.3203241639295772,0.4439312816622311,H,0.2612791673480443,0.30467548680665046,0.4340453458453053,H,False,False,False,True,0,1531,9,川崎F,東京V,D,2025-04-19,0,13,13,1.0
32259,2025-04-20,C大阪,FC東京,D,c大阪,fc東京,0.32946128883300085,0.37424240736389397,0.2962963038031052,D,0.2407197738431358,0.3618621216519339,0.3974181045049303,H,0.29396468283705485,0.36929029307910993,0.3367450240838352,D,True,False,True,False,0,1531,10,C大阪,FC東京,D,2025-04-19,0,13,13,1.0
31623,2025-04-19,鳥栖,レノファ山口FC,D,鳥栖,山口,0.34551759144933525,0.30173094370997694,0.35275146484068776,H,0.2689970510418451,0.3210455971010244,0.4099573518571305,H,0.3149093752863392,0.30945680506639595,0.37563381964726483,H,False,False,False,True,0,1531,11,鳥栖,山口,D,2025-04-19,0,13,13,1.0
31625,2025-04-20,札幌,藤枝MYFC,H,札幌,藤枝,0.34019736518819127,0.36665928555692434,0.29314334925488444,D,0.2676129548011612,0.3312843767019799,0.4011026684968589,H,0.31116360103337926,0.35250932201494656,0.3363270769516742,D,False,True,False,False,0,1531,12,札幌,藤枝,H,2025-04-19,0,13,13,1.0
31626,2025-04-20,秋田,磐田,H,秋田,磐田,0.3258877929771589,0.3347014001142553,0.3394108069085857,H,0.26792834903517865,0.3936805010026279,0.33839114996219355,D,0.30270401540036684,0.35829304046960436,0.33900294413002885,D,True,False,False,False,0,1531,13,秋田,磐田,H,2025-04-19,0,13,13,1.0
32266,2025-04-25,浦和,広島,H,浦和,広島,0.3065685291162452,0.31345815468284,0.3799733162009148,H,0.1927905423357603,0.1750523597421917,0.632157097922048,H,0.2610573344040512,0.25809583670658065,0.480846828889368,H,True,True,True,True,0,1532,1,浦和,広島,H,2025-04-25,0,13,13,1.0
32267,2025-04-25,FC東京,G大阪,H,fc東京,g大阪,0.3134100989798934,0.3155096265357201,0.3710802744843864,H,0.26646003723044814,0.31307121004090305,0.4204687527286488,H,0.2946300742801153,0.31453425993779327,0.3908356657820914,H,True,True,True,True,0,1532,2,FC東京,G大阪,H,2025-04-25,0,13,13,1.0
32268,2025-04-26,柏,新潟,D,柏,新潟,0.30695174250323004,0.34016143438131263,0.3528868231154573,H,0.29311990008311345,0.46757614115266627,0.23930395876422034,D,0.3014190055351834,0.3911273170898541,0.30745367737496254,D,False,True,True,False,0,1532,3,柏,新潟,D,2025-04-25,0,13,13,1.0
31639,2025-04-26,レノファ山口FC,FC今治,A,山口,今治,0.3437188880701855,0.3032774477080628,0.3530036642217517,H,0.21519556286032343,0.32259214633381783,0.46221229080585874,H,0.2923095579862407,0.3110033271583648,0.39668711485539454,H,False,False,False,True,0,1532,4,山口,今治,A,2025-04-25,0,13,13,1.0
31631,2025-04-25,仙台,愛媛FC,D,仙台,愛媛,0.2842639892783469,0.3226632947952423,0.3930727159264108,H,0.28342149770453823,0.29418058814445025,0.42239791415101163,H,0.28392699264882343,0.3112702121349255,0.4048027952162512,H,False,False,False,True,0,1532,5,仙台,愛媛,D,2025-04-25,0,13,13,1.0
32266,2025-04-25,浦和,広島,H,浦和,広島,0.3065685291162452,0.31345815468284,0.3799733162009148,H,0.1927905423357603,0.1750523597421917,0.632157097922048,H,0.2610573344040512,0.25809583670658065,0.480846828889368,H,True,True,True,True,0,1532,6,浦和,広島,H,2025-04-25,0,13,13,1.0
32267,2025-04-25,FC東京,G大阪,H,fc東京,g大阪,0.3134100989798934,0.3155096265357201,0.3710802744843864,H,0.26646003723044814,0.31307121004090305,0.4204687527286488,H,0.2946300742801153,0.31453425993779327,0.3908356657820914,H,True,True,True,True,0,1532,7,FC東京,G大阪,H,2025-04-25,0,13,13,1.0
