round_no,match_no,home_team,away_team,reason,kickoff_at,date_distance_days,closest_prediction_date
1460,6,長崎,新潟,date_distance_gt_window,2024-06-09,680.0,2022-07-30
1461,1,オーストラリ,パレスチナ,out_of_v6_jleague_scope,2024-06-11,,
1461,2,インドネシ,フィリピン,out_of_v6_jleague_scope,2024-06-11,,
1461,3,カタール,インド,out_of_v6_jleague_scope,2024-06-12,,
1461,4,イラン,ウズベキ,out_of_v6_jleague_scope,2024-06-12,,
1461,5,イラク,ベトナム,out_of_v6_jleague_scope,2024-06-12,,
1461,6,オーストラリ,パレスチナ,out_of_v6_jleague_scope,2024-06-11,,
1461,7,インドネシ,フィリピン,out_of_v6_jleague_scope,2024-06-11,,
1461,8,カタール,インド,out_of_v6_jleague_scope,2024-06-12,,
1461,9,イラン,ウズベキ,out_of_v6_jleague_scope,2024-06-12,,
1461,10,イラク,ベトナム,out_of_v6_jleague_scope,2024-06-12,,
1461,11,タイ,シンガポ,out_of_v6_jleague_scope,2024-06-11,,
1461,12,マレーシア,台湾,out_of_v6_jleague_scope,2024-06-11,,
1461,13,トルクメニス,香港,out_of_v6_jleague_scope,2024-06-12,,
1464,6,町田,0,out_of_v6_jleague_scope,2024-06-19,,
1467,1,C大阪,甲府,no_exact_pair_match,2024-07-10,,
1467,2,鹿島,藤枝,no_exact_pair_match,2024-07-10,,
1467,3,福岡,愛媛,no_exact_pair_match,2024-07-10,,
1467,4,札幌,山形,date_distance_gt_window,2024-07-10,451.0,2025-10-04
1467,5,鳥栖,横浜FC,date_distance_gt_window,2024-07-10,242.0,2023-11-11
1467,6,C大阪,甲府,no_exact_pair_match,2024-07-10,,
1467,7,鹿島,藤枝,no_exact_pair_match,2024-07-10,,
1467,8,福岡,愛媛,no_exact_pair_match,2024-07-10,,
1467,9,札幌,山形,date_distance_gt_window,2024-07-10,451.0,2025-10-04
1467,10,鳥栖,横浜FC,date_distance_gt_window,2024-07-10,242.0,2023-11-11
1467,11,FC東京,千葉,no_exact_pair_match,2024-07-10,,
1467,12,川崎F,大分,no_exact_pair_match,2024-07-10,,
1467,13,新潟,長崎,date_distance_gt_window,2024-07-10,809.0,2022-04-23
1470,6,岩手,1,out_of_v6_jleague_scope,2024-07-20,,
1474,1,広島,愛媛,no_exact_pair_match,2024-08-21,,
1474,2,G大阪,湘南,date_distance_gt_window,2024-08-21,32.0,2024-07-20
1474,3,柏,神戸,date_distance_gt_window,2024-08-21,101.0,2024-11-30
1474,4,甲府,鹿島,no_exact_pair_match,2024-08-21,,
1474,5,千葉,札幌,date_distance_gt_window,2024-08-21,438.0,2025-11-02
1474,6,神戸,1,out_of_v6_jleague_scope,2024-08-14,,
1475,6,町田,0,out_of_v6_jleague_scope,2024-08-17,,
1477,1,横浜FM,3,out_of_v6_jleague_scope,2024-09-04,,
1477,2,札幌,1,out_of_v6_jleague_scope,2024-08-28,,
1477,4,町田,0,out_of_v6_jleague_scope,2024-08-28,,
1477,5,名古屋,0,out_of_v6_jleague_scope,2024-09-04,,
1477,6,広島,1,out_of_v6_jleague_scope,2024-08-28,,
1482,1,横浜FM,3,out_of_v6_jleague_scope,2024-09-25,,
1482,2,山口,1,out_of_v6_jleague_scope,2024-09-18,,
1482,3,鹿島,0,out_of_v6_jleague_scope,2024-09-25,,
1482,5,甲府,2,out_of_v6_jleague_scope,2024-09-25,,
1486,1,横浜FM,名古屋,date_distance_gt_window,2024-10-09,60.0,2024-12-08
1486,6,横浜FM,名古屋,date_distance_gt_window,2024-10-09,60.0,2024-12-08
1493,1,パラグア,アルゼンチ,out_of_v6_jleague_scope,2024-11-15,,
1493,2,エクアドル,ボリビア,out_of_v6_jleague_scope,2024-11-15,,
1493,3,ウルグアイ,コロンビア,out_of_v6_jleague_scope,2024-11-16,,
1493,4,ペルー,チリ,out_of_v6_jleague_scope,2024-11-16,,
1493,5,ベネズエ,ブラジル,out_of_v6_jleague_scope,2024-11-15,,
1493,6,パラグア,アルゼンチ,out_of_v6_jleague_scope,2024-11-15,,
1493,7,エクアドル,ボリビア,out_of_v6_jleague_scope,2024-11-15,,
1493,8,ウルグアイ,コロンビア,out_of_v6_jleague_scope,2024-11-16,,
1493,9,ペルー,チリ,out_of_v6_jleague_scope,2024-11-16,,
1493,10,ベネズエ,ブラジル,out_of_v6_jleague_scope,2024-11-15,,
1493,11,UAE,キルギス,out_of_v6_jleague_scope,2024-11-15,,
1493,12,オマーン,パレスチナ,out_of_v6_jleague_scope,2024-11-15,,
1493,13,イラク,ヨルダン,out_of_v6_jleague_scope,2024-11-15,,
1494,6,YS横浜,2,out_of_v6_jleague_scope,2024-11-09,,
1495,1,アーセナル,ノッティン,out_of_v6_jleague_scope,2024-11-24,,
1495,2,アストン,クリスタル,out_of_v6_jleague_scope,2024-11-24,,
1495,3,ボンマウス,ブライトン,out_of_v6_jleague_scope,2024-11-24,,
1495,4,レスター,チェルシー,out_of_v6_jleague_scope,2024-11-23,,
1495,5,マンC,トテナム,out_of_v6_jleague_scope,2024-11-24,,
1495,6,ヴォルフス,ウニオン,out_of_v6_jleague_scope,2024-11-23,,
1495,7,アーセナル,ノッティン,out_of_v6_jleague_scope,2024-11-24,,
1495,8,アストン,クリスタル,out_of_v6_jleague_scope,2024-11-24,,
1495,9,ボンマウス,ブライトン,out_of_v6_jleague_scope,2024-11-24,,
1495,10,レスター,チェルシー,out_of_v6_jleague_scope,2024-11-23,,
1495,11,マンC,トテナム,out_of_v6_jleague_scope,2024-11-24,,
1495,12,フラム,ウルヴァー,out_of_v6_jleague_scope,2024-11-24,,
1495,13,エヴァトン,ブレント,out_of_v6_jleague_scope,2024-11-24,,
1497,6,浦和,0,out_of_v6_jleague_scope,2024-11-23,,
1498,1,リヴァプ,マンC,out_of_v6_jleague_scope,2024-12-02,,
1498,2,クリスタル,ニュカッスル,out_of_v6_jleague_scope,2024-12-01,,
1498,3,ウェストハム,アーセナル,out_of_v6_jleague_scope,2024-12-01,,
1498,4,チェルシー,アストン,out_of_v6_jleague_scope,2024-12-01,,
