strategy,window,test_from,test_to,rows,accuracy,macro_f1,weighted_f1,log_loss,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1,predicted_away,predicted_draw,predicted_home
rf_100,11,2024-06-22,2024-09-18,336,0.41964285714285715,0.3554254515291484,0.39926149935353805,1.0788850864463213,0.408,0.4214876033057851,0.4146341463414634,0.19444444444444445,0.09722222222222222,0.12962962962962962,0.4742857142857143,0.5804195804195804,0.5220125786163522,125,36,175
rf_100,12,2024-09-21,2024-12-08,257,0.4163424124513619,0.34588632341441333,0.37370868831542986,1.0678435692990245,0.3684210526315789,0.35,0.358974358974359,0.3,0.08450704225352113,0.13186813186813187,0.453416149068323,0.6886792452830188,0.5468164794007491,76,20,161
rf_100,13,2025-02-14,2025-03-16,154,0.3181818181818182,0.3142297358167254,0.3140371615381774,1.1066093939577104,0.3125,0.46511627906976744,0.37383177570093457,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.3829787234042553,0.2647058823529412,0.3130434782608696,64,43,47
rf_100,14,2025-03-23,2025-06-15,394,0.4035532994923858,0.3851430269077328,0.39522744400021204,1.0864554449543053,0.3783783783783784,0.35,0.36363636363636365,0.36904761904761907,0.2672413793103448,0.31,0.4321608040201005,0.5443037974683544,0.48179271708683474,111,84,199
rf_100,15,2025-06-21,2025-09-14,300,0.38666666666666666,0.3637441643323996,0.3872535947712418,1.0889498573407512,0.37662337662337664,0.29591836734693877,0.3314285714285714,0.24705882352941178,0.3088235294117647,0.27450980392156865,0.4782608695652174,0.4925373134328358,0.4852941176470588,77,85,138
rf_100,16,2025-09-15,2025-12-06,292,0.4726027397260274,0.4339143440338216,0.4654692611418761,1.0655956400130802,0.5,0.41414141414141414,0.4530386740331492,0.30357142857142855,0.265625,0.2833333333333333,0.5194805194805194,0.6201550387596899,0.5653710247349824,82,56,154
lgbm_100,1,2022-02-18,2022-04-03,178,0.2696629213483146,0.2666862155051131,0.26936196501798554,1.2961127911065142,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2413793103448276,0.23728813559322035,0.23931623931623933,0.34375,0.3492063492063492,0.3464566929133858,56,58,64
lgbm_100,2,2022-04-05,2022-07-02,388,0.3427835051546392,0.3282968774986401,0.34233843050428303,1.214474909993923,0.29927007299270075,0.3504273504273504,0.3228346456692913,0.26373626373626374,0.23076923076923078,0.24615384615384617,0.425,0.40718562874251496,0.41590214067278286,137,91,160
lgbm_100,3,2022-07-03,2022-09-25,349,0.39255014326647564,0.37440785442030916,0.3894940521249636,1.1411537086951928,0.39285714285714285,0.37606837606837606,0.38427947598253276,0.27710843373493976,0.25274725274725274,0.26436781609195403,0.45454545454545453,0.49645390070921985,0.4745762711864407,112,83,154
lgbm_100,4,2022-10-01,2022-11-20,159,0.389937106918239,0.3702295933644748,0.3890106528970818,1.1355221628599945,0.38095238095238093,0.41379310344827586,0.39669421487603307,0.2727272727272727,0.25,0.2608695652173913,0.4603174603174603,0.4461538461538462,0.453125,63,33,63
lgbm_100,5,2023-02-17,2023-03-29,151,0.41721854304635764,0.4154966848036155,0.4173462558355352,1.1121426730827007,0.40816326530612246,0.38461538461538464,0.39603960396039606,0.3829787234042553,0.4186046511627907,0.4,0.45454545454545453,0.44642857142857145,0.45045045045045046,49,47,55
lgbm_100,6,2023-03-31,2023-06-25,399,0.3659147869674185,0.3384507622085262,0.3569917533467713,1.1395264363259268,0.32142857142857145,0.2706766917293233,0.2938775510204082,0.27058823529411763,0.23,0.24864864864864866,0.4306930693069307,0.5240963855421686,0.47282608695652173,112,85,202
lgbm_100,7,2023-06-28,2023-09-24,375,0.3413333333333333,0.3269689955092085,0.3360428938629994,1.1671881719898671,0.2711864406779661,0.2782608695652174,0.27467811158798283,0.34177215189873417,0.24324324324324326,0.28421052631578947,0.38764044943820225,0.46308724832214765,0.42201834862385323,118,79,178
lgbm_100,8,2023-09-27,2023-12-03,223,0.37668161434977576,0.361722246837805,0.37464689233528614,1.1338115019948416,0.4861111111111111,0.3888888888888889,0.43209876543209874,0.3170731707317073,0.23214285714285715,0.26804123711340205,0.32727272727272727,0.4675324675324675,0.3850267379679144,72,41,110
lgbm_100,9,2024-02-23,2024-03-23,138,0.2536231884057971,0.2557149377611749,0.2515630174968484,1.2358500617420114,0.20454545454545456,0.17647058823529413,0.18947368421052632,0.3142857142857143,0.28205128205128205,0.2972972972972973,0.2542372881355932,0.3125,0.2803738317757009,44,35,59
lgbm_100,10,2024-03-24,2024-06-19,409,0.38875305623471884,0.3684021358638445,0.3787579774995174,1.115083986636687,0.3870967741935484,0.366412213740458,0.3764705882352941,0.2988505747126437,0.21666666666666667,0.25120772946859904,0.4292929292929293,0.5379746835443038,0.47752808988764045,124,87,198
lgbm_100,11,2024-06-22,2024-09-18,336,0.375,0.36253719840676357,0.3778570829036667,1.1187490056442455,0.3939393939393939,0.4297520661157025,0.41106719367588934,0.25,0.3055555555555556,0.275,0.4482758620689655,0.36363636363636365,0.4015444015444015,132,88,116
